ID,Location_ID,Sensing_Date,HourDay,Direction_1,Direction_2,Total_of_Directions,Sensor_Name,Location
5120251014,5,2025-10-14,1,14,27,41,PriNW_T,"-37.81874249, 144.96787656"
1321220251018,132,2025-10-18,12,216,136,352,King335_T,"-37.81267639, 144.95386444"
161120251019,161,2025-10-19,1,0,3,3,BirArt1109_T,"-37.81851276, 144.97131336"
69720251028,69,2025-10-28,7,162,41,203,FLDegC_T,"-37.81687226, 144.96559144"
432020251013,43,2025-10-13,20,54,85,139,UM2_T,"-37.79844526, 144.96411782"
1662220251004,166,2025-10-04,22,11,6,17,Spen484_T,"-37.80896733, 144.94931703"
1411520251024,141,2025-10-24,15,141,135,276,474Fl_T,"-37.81997273, 144.95834911"
32220251020,3,2025-10-20,22,367,293,660,Swa295_T,"-37.81101524, 144.96429485"
70820251009,70,2025-10-09,8,97,101,198,Errol20_T,"-37.80456984, 144.94946228"
542120251008,54,2025-10-08,21,102,126,228,Swa607_T,"-37.804024, 144.96308399"
53420251030,53,2025-10-30,4,0,2,2,Col254_T,"-37.81564191, 144.965499"
461920251011,46,2025-10-11,19,56,58,114,Pel147_T,"-37.80240719, 144.9615673"
522120251025,52,2025-10-25,21,292,272,564,Eli263_T,"-37.81252157, 144.9619401"
31020251023,31,2025-10-23,0,13,8,21,Lyg161_T,"-37.80169681, 144.96658911"
521420251012,52,2025-10-12,14,387,372,759,Eli263_T,"-37.81252157, 144.9619401"
1371120251031,137,2025-10-31,11,50,69,119,BouHbr2353_T,"-37.81894815, 144.94612292"
134220251026,134,2025-10-26,2,22,14,36,Spen201_T,"-37.81694221, 144.95303935"
76820251019,76,2025-10-19,8,21,8,29,KenMac_T,"-37.79453803, 144.93036194"
2820251025,2,2025-10-25,8,70,96,166,Bou283_T,"-37.81380668, 144.96516718"
1391120251012,139,2025-10-12,11,34,129,163,Signal1647_T,"-37.81959923, 144.9632832"
91820251022,9,2025-10-22,18,719,91,810,Col700_T,"-37.81982992, 144.95102555"
141520251015,141,2025-10-15,5,8,2,10,474Fl_T,"-37.81997273, 144.95834911"
137520251001,137,2025-10-01,5,4,2,6,BouHbr2353_T,"-37.81894815, 144.94612292"
791120251002,79,2025-10-02,11,378,286,664,FliSS_T,"-37.81794046, 144.96616678"
1091120251013,109,2025-10-13,11,87,125,212,LatWill_T,"-37.81193681, 144.95621105"
711920251009,71,2025-10-09,19,15,27,42,WestWP_T,"-37.81235775, 144.97136962"
61720251018,6,2025-10-18,17,275,357,632,FliS_T,"-37.81907439, 144.96557866"
771420251017,77,2025-10-17,14,402,425,827,HarEsP_T,"-37.81441438, 144.94433026"
771120251023,77,2025-10-23,11,101,57,158,HarEsP_T,"-37.81441438, 144.94433026"
771120251020,77,2025-10-20,11,35,21,56,HarEsP_T,"-37.81441438, 144.94433026"
131320251031,131,2025-10-31,3,14,21,35,King2_T,"-37.82009057, 144.95758725"
1662120251014,166,2025-10-14,21,10,13,23,Spen484_T,"-37.80896733, 144.94931703"
251020251021,25,2025-10-21,10,316,562,878,MCEC_T,"-37.82401776, 144.95604426"
48720251005,48,2025-10-05,7,26,26,52,QVMQ_T,"-37.80631581, 144.95866697"
162020251030,162,2025-10-30,0,67,56,123,Eli489_T,"-37.80740397, 144.95987909"
1841420251009,184,2025-10-09,14,1054,1296,2350,Eli124_T,"-37.81512416, 144.96371988"
1311520251024,131,2025-10-24,15,133,105,238,King2_T,"-37.82009057, 144.95758725"
1342220251024,134,2025-10-24,22,273,274,547,Spen201_T,"-37.81694221, 144.95303935"
51120251013,51,2025-10-13,1,5,2,7,Fra118_T,"-37.80841815, 144.95906316"
1082020251017,108,2025-10-17,20,180,164,344,261Will_T,"-37.81295822, 144.95678789"
761520251021,76,2025-10-21,15,49,99,148,KenMac_T,"-37.79453803, 144.93036194"
43720251007,43,2025-10-07,7,64,36,100,UM2_T,"-37.79844526, 144.96411782"
52620251008,52,2025-10-08,6,16,21,37,Eli263_T,"-37.81252157, 144.9619401"
5820251021,5,2025-10-21,8,565,1021,1586,PriNW_T,"-37.81874249, 144.96787656"
501920251026,50,2025-10-26,19,167,174,341,Lyg309_T,"-37.79808192, 144.96721013"
231020251024,23,2025-10-24,10,185,201,386,Col623_T,"-37.81909256, 144.95452748"
25520251011,25,2025-10-11,5,12,24,36,MCEC_T,"-37.82401776, 144.95604426"
1091020251008,109,2025-10-08,10,97,156,253,LatWill_T,"-37.81193681, 144.95621105"
112020251024,11,2025-10-24,20,56,56,112,WatCit_T,"-37.81564989, 144.93970694"
192020251026,19,2025-10-26,20,453,456,909,LtB210_T,"-37.81237202, 144.96550671"
361920251003,36,2025-10-03,19,144,165,309,Que85_T,"-37.81652527, 144.96121062"
1071420251027,107,2025-10-27,14,161,141,302,280Will_T,"-37.81246271, 144.95690188"
61420251010,6,2025-10-10,14,224,157,381,FliS_T,"-37.81907439, 144.96557866"
19720251027,19,2025-10-27,7,28,9,37,LtB210_T,"-37.81237202, 144.96550671"
